日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv
2017/11/10,0.003,-0.0064,-0.0076
2017/11/13,0.0039,-0.0059,-0.0003
2017/11/14,-0.0065,0.0003,0.0049
2017/11/15,-0.0085,0.0015,0.0017
2017/11/16,0.0018,-0.0081,-0.0072
2017/11/17,-0.0114,-0.0204,0.0135
2017/11/20,0.0057,-0.0074,-0.0006
2017/11/21,0.0073,-0.0093,0.0023
2017/11/22,0.0034,-0.0004,0.0087
2017/11/23,-0.0259,0.0098,0.006
2017/11/24,0.0003,0.0015,0.0024
2017/11/27,-0.0119,0.0046,0.0036
2017/11/28,0.0065,0.001,-0.007
2017/11/29,0.001,0.0023,0.0116
2017/11/30,-0.0082,0.0058,-0.0005
2017/12/1,0.0024,0.0038,-0.0051
2017/12/4,-0.0017,-0.0113,-0.0006
2017/12/5,-0.0069,-0.0177,0.0078
2017/12/6,-0.0003,0.0078,-0.0057
2017/12/7,-0.0074,0.0078,-0.0009
2017/12/8,0.0075,0.0011,-0.0047
2017/12/11,0.0125,-0.0076,-0.0072
2017/12/12,-0.0118,-0.0009,-0.002
2017/12/13,0.0075,-0.0031,-0.0034
2017/12/14,-0.0029,0.0048,0.0001
2017/12/15,-0.0084,0.0079,-0.0032
2017/12/18,-0.0012,-0.0053,0.0036
2017/12/19,0.0093,-0.0024,-0.0001
2017/12/20,-0.0041,-0.0073,-0.0005
2017/12/21,0.0054,-0.0078,0.0014
2017/12/22,-0.0015,-0.0016,0.0059
2017/12/25,-0.0064,-0.0071,0.0052
2017/12/26,0.0053,0.0032,0.0047
2017/12/27,-0.0096,0.0054,0.0054
2017/12/28,0.0058,-0.0072,-0.0052
2017/12/29,0.005,0.0041,-0.0001
2018/1/2,0.0127,-0.0033,0.0076
2018/1/3,0.007,-0.0011,-0.0036
2018/1/4,0.0049,-0.0078,0.0011
2018/1/5,0.0016,-0.0001,0.0059
2018/1/8,0.0043,-0.0056,0.0065
2018/1/9,0.0022,-0.006,-0.0056
2018/1/10,0.0014,-0.0072,0.0013
2018/1/11,0.0016,0.0063,-0.006
2018/1/12,0.0007,-0.0046,0.0011
2018/1/15,-0.0088,-0.0115,0.0059
2018/1/16,0.0066,0.0004,0.0077
2018/1/17,-0.001,0.0051,0.0059
2018/1/18,0.0069,-0.0005,0.0033
2018/1/19,0.0019,-0.0015,0.0029
2018/1/22,0.0085,-0.0097,-0.006
2018/1/23,0.01,-0.004,0.004
2018/1/24,0.0037,0.0021,0.0001
2018/1/25,-0.0038,0.0023,0.0043
2018/1/26,0.0019,-0.0043,0.0033
2018/1/29,-0.013,0.0033,0.011
2018/1/30,-0.0091,0.0039,-0.0061
2018/1/31,-0.006,-0.0205,0.0066
2018/2/1,-0.0165,-0.0242,0.0102
2018/2/2,0.0038,-0.0152,0.0145
2018/2/5,0.0028,0.003,0.0157
2018/2/6,-0.0383,-0.0153,0.0067
2018/2/7,-0.0172,0.0177,-0.0047
2018/2/8,-0.007,0.009,-0.0201
2018/2/9,-0.0402,0.0055,-0.0117
2018/2/12,0.0145,0.0013,-0.0131
2018/2/13,0.0089,-0.0049,0.0023
2018/2/14,0.0053,-0.0029,0.0008
2018/2/22,0.0222,-0.0067,-0.0019
2018/2/23,0.0047,0.0003,0.005
2018/2/26,0.0153,0.0034,-0.0077
2018/2/27,-0.0104,0.0105,-0.0111
2018/2/28,-0.0054,0.0052,-0.0018
2018/3/1,0.008,0.0049,-0.0126
2018/3/2,-0.007,0.0036,0.001
2018/3/5,0.0012,0.0037,-0.0034
2018/3/6,0.0111,-0.0012,0.0073
2018/3/7,-0.0067,0.004,-0.001
2018/3/8,0.0066,-0.0025,-0.0025
2018/3/9,0.0092,0.0047,-0.0112
2018/3/12,0.0082,0.0065,-0.0029
2018/3/13,-0.0063,0.0052,0.0013
2018/3/14,-0.0069,-0.0053,0.0032
2018/3/15,0.0011,-0.0077,-0.0057
2018/3/16,-0.0075,0.0092,0.001
2018/3/19,0.0026,0.0008,-0.0109
2018/3/20,0.0031,0.0003,-0.0027
2018/3/21,-0.0054,0.0013,0.0029
2018/3/22,-0.0059,0.0101,-0.0007
2018/3/23,-0.0378,-0.0192,0.0051
2018/3/26,-0.0005,0.004,-0.0135
2018/3/27,0.0143,0.0107,-0.0079
2018/3/28,-0.0135,0.0114,0.0011
2018/3/29,0.0122,-0.0005,0.0084
2018/3/30,0.0057,0.0059,-0.0108
2018/4/2,-0.0013,0.0052,0.0005
2018/4/3,-0.0086,-0.0014,-0.0009
2018/4/4,-0.0037,-0.0008,0.0019
2018/4/9,0.001,0.0024,-0.0008
2018/4/10,0.0136,-0.0088,0.0078
2018/4/11,0.0052,0.0024,0.0008
2018/4/12,-0.0088,0.0006,-0.0021
2018/4/13,-0.0058,0.0018,0.0018
2018/4/16,-0.0124,0.0017,-0.0104
2018/4/17,-0.0178,-0.0012,0.0104
2018/4/18,0.0092,0.0047,-0.0015
2018/4/19,0.0087,-0.009,-0.0004
2018/4/20,-0.0165,-0.0053,0.0009
2018/4/23,-0.0032,-0.0028,0.0041
2018/4/24,0.0213,-0.0002,-0.0027
2018/4/25,-0.0021,0.0061,-0.0087
2018/4/26,-0.0171,0.0016,0.0067
2018/4/27,0.0032,-0.0023,0.0025
2018/5/2,-0.0004,-0.0062,0.0022
2018/5/3,0.008,-0.0007,-0.0008
2018/5/4,-0.003,0.0004,0
2018/5/7,0.0169,-0.0026,-0.0056
2018/5/8,0.008,0.0008,-0.0009
2018/5/9,-0.001,0.0017,-0.0005
2018/5/10,0.0051,-0.0011,-0.0042
2018/5/11,-0.006,-0.0035,0.0048
2018/5/14,0.0023,-0.0137,-0.0033
2018/5/15,0.0062,0.003,-0.0026
2018/5/16,-0.0069,0.0011,-0.0006
2018/5/17,-0.0054,0.0046,0.0042
2018/5/18,0.0105,-0.0025,0.0072
2018/5/21,0.0073,0.0041,-0.0003
2018/5/22,0,0.0005,-0.0049
2018/5/23,-0.0142,0.0033,-0.0034
2018/5/24,-0.0053,0.0048,0.0002
2018/5/25,-0.0058,-0.0029,0.0022
2018/5/28,-0.0009,-0.0125,-0.0039
2018/5/29,-0.0074,0.0018,0.0067
2018/5/30,-0.0263,-0.0143,-0.0007
2018/5/31,0.0182,-0.004,-0.0042
2018/6/1,-0.0086,0.002,0.009
2018/6/4,0.0048,-0.0098,-0.0033
2018/6/5,0.0117,0.0003,-0.0067
2018/6/6,-0.0006,-0.0002,0.0013
2018/6/7,-0.003,-0.0022,0.004
2018/6/8,-0.0125,-0.0011,-0.0035
2018/6/11,-0.0048,-0.0019,0.0059
2018/6/12,0.0106,-0.0077,-0.0037
2018/6/13,-0.0117,-0.0037,0.006
2018/6/14,-0.0034,0.002,0.0038
